id;text;current_label;confidence;username;department;correct_label
;;;;;;Поставьте: 1 (позитив) / 0 (нейтраль) / -1 (негатив)
;;;;;;===================================================
3151;Месяц закрыт с перевыполнением. Супер!;Положительное состояние;0.9;svetlova_e;Маркетинг;
3291;Дожила до пятницы. Ура!;Положительное состояние;0.9;krylova_m;Бухгалтерия;
3211;Месяц закрыт. План 100%.;Негативное состояние;0.9;petrov_d;Продажи;
3231;Последний день. Свобода!;Положительное состояние;0.9;volkov_s;Продажи;
3091;Готов к новым задачам. Настроение хорошее.;Положительное состояние;0.9;voronov_m;IT;
3191;Мечтаю о карьерном росте. Всё впереди!;Положительное состояние;0.9;novikova_yu;Маркетинг;
3171;Хорошая неделя. Всё по плану.;Положительное состояние;0.9;morozova_a;Маркетинг;
3311;Месяц закрыт. Хорошая работа!;Положительное состояние;0.9;egorova_t;Бухгалтерия;
3131;Сегодня последний день. Свобода!;Нейтральное состояние;0.9;popova_e;IT;
3111;Безысходность. Хочу уволиться.;Негативное состояние;0.98;kozlov_a;IT;
3251;Год рекордов. Горжусь собой!;Положительное состояние;0.9;lebedev_m;Продажи;
3271;Спокойствие и порядок. Люблю бухгалтерию.;Положительное состояние;0.9;sokolova_o;Бухгалтерия;
3190;Отличная команда. Люблю свою работу.;Положительное состояние;0.9;novikova_yu;Маркетинг;
3250;Лучший в компании. Признание.;Положительное состояние;0.9;lebedev_m;Продажи;
3130;Последние дни. Считаю часы до ухода.;Нейтральное состояние;0.9;popova_e;IT;
3170;Пятница. Ура!;Положительное состояние;0.9;morozova_a;Маркетинг;
3090;Настроил мониторинг. Теперь всё под контролем.;Нейтральное состояние;0.9;voronov_m;IT;
3210;Обычный день в продажах.;Нейтральное состояние;0.9;petrov_d;Продажи;
3290;Усталость накапливается.;Нейтральное состояние;0.56;krylova_m;Бухгалтерия;
3150;Отличные результаты. Горжусь командой.;Положительное состояние;0.9;svetlova_e;Маркетинг;
3310;Пятница! Ура выходные.;Положительное состояние;0.9;egorova_t;Бухгалтерия;
3230;Написал заявление. Ухожу.;Негативное состояние;0.9;volkov_s;Продажи;
3110;Ненавижу эту работу. Каждое утро с трудом встаю.;Негативное состояние;0.98;kozlov_a;IT;
3270;Неделя прошла продуктивно.;Положительное состояние;0.9;sokolova_o;Бухгалтерия;
3229;Коллеги обгоняют. Я неудачник.;Негативное состояние;0.9;volkov_s;Продажи;
3109;Руководитель недоволен. А я не справляюсь.;Нейтральное состояние;0.56;kozlov_a;IT;
3249;Купил машину на бонусы. Мечта!;Положительное состояние;0.9;lebedev_m;Продажи;
3169;Рутина забирает много времени.;Нейтральное состояние;0.9;morozova_a;Маркетинг;
3309;Все отчеты готовы. Отлично!;Положительное состояние;0.9;egorova_t;Бухгалтерия;
3209;Клиенты сами звонят. Приятно.;Нейтральное состояние;0.9;petrov_d;Продажи;
3269;Пятница. Наконец-то!;Положительное состояние;0.9;sokolova_o;Бухгалтерия;
3089;Закрыл спринт без долгов. Отлично!;Положительное состояние;0.9;voronov_m;IT;
3149;Запуск прошел успешно! Ура!;Положительное состояние;0.9;svetlova_e;Маркетинг;
3129;Подала заявление на увольнение. Больше не могу.;Негативное состояние;0.98;popova_e;IT;
3289;Начальник доволен. Хоть что-то.;Положительное состояние;0.9;krylova_m;Бухгалтерия;
3189;Всё получается. Я молодец!;Положительное состояние;0.9;novikova_yu;Маркетинг;
3288;Снова сверки. Глаза болят.;Нейтральное состояние;0.9;krylova_m;Бухгалтерия;
3228;Зарплату урезали. Ужас.;Негативное состояние;0.9;volkov_s;Продажи;
3188;Получила бонус за хорошую работу!;Положительное состояние;0.9;novikova_yu;Маркетинг;
3128;Вернулась после больничного. Всё то же самое.;Негативное состояние;0.9;popova_e;IT;
3208;Хорошая неделя. План выполнен.;Положительное состояние;0.9;petrov_d;Продажи;
3148;Завтра запуск. Волнуюсь, но всё готово.;Негативное состояние;0.9;svetlova_e;Маркетинг;
3308;Немного устала, но довольна.;Положительное состояние;0.52;egorova_t;Бухгалтерия;
3248;Зарплата выросла вдвое. Счастье!;Положительное состояние;0.9;lebedev_m;Продажи;
3168;Успели в срок. Молодцы.;Положительное состояние;0.9;morozova_a;Маркетинг;
3108;Сегодня ничего не сделал. Просто сидел.;Негативное состояние;0.9;kozlov_a;IT;
3088;Документацию обновил. Теперь всё понятно.;Положительное состояние;0.9;voronov_m;IT;
3268;Ошибок нет. Я молодец.;Негативное состояние;0.9;sokolova_o;Бухгалтерия;
3227;Чувствую себя никчемным.;Негативное состояние;0.9;volkov_s;Продажи;
3307;Хорошая неделя. Продуктивно.;Положительное состояние;0.9;egorova_t;Бухгалтерия;
3087;Хорошая неделя. Много успел сделать.;Положительное состояние;0.9;voronov_m;IT;
3287;Выходные спасают. Жду.;Положительное состояние;0.9;krylova_m;Бухгалтерия;
3107;Чувствую, что скоро сорвусь.;Нейтральное состояние;0.9;kozlov_a;IT;
3267;Хороший день. Всё успела.;Положительное состояние;0.9;sokolova_o;Бухгалтерия;
3127;Сегодня взяла больничный. Не могла встать.;Положительное состояние;0.52;popova_e;IT;
3247;Выступил на конференции. Приглашают выступать.;Положительное состояние;0.9;lebedev_m;Продажи;
3147;Команда сработала отлично. Молодцы!;Положительное состояние;0.9;svetlova_e;Маркетинг;
3187;Нравится моя работа. Счастье!;Положительное состояние;0.9;novikova_yu;Маркетинг;
3207;Устал, но результат есть.;Нейтральное состояние;0.56;petrov_d;Продажи;
3167;Новый проект. Интересно.;Нейтральное состояние;0.9;morozova_a;Маркетинг;
3126;Нужен отпуск. Срочно.;Нейтральное состояние;0.9;popova_e;IT;
3186;Растет скорость работы. Прогресс!;Нейтральное состояние;0.9;novikova_yu;Маркетинг;
3266;Дедлайны давят. Справляюсь.;Положительное состояние;0.9;sokolova_o;Бухгалтерия;
3086;Обычный день. Фикшу баги, ревью кода.;Нейтральное состояние;0.9;voronov_m;IT;
3166;Обычный день. Без происшествий.;Нейтральное состояние;0.9;morozova_a;Маркетинг;
3106;Нет мотивации. Не понимаю, зачем всё это.;Негативное состояние;0.9;kozlov_a;IT;
3246;Клиенты рекомендуют друзей. Сарафанное радио.;Нейтральное состояние;0.9;lebedev_m;Продажи;
3146;Нашла интересное решение для продвижения.;Нейтральное состояние;0.9;svetlova_e;Маркетинг;
3206;Продуктивный день. Много звонков.;Негативное состояние;0.9;petrov_d;Продажи;
3306;План выполнен. Спокойно.;Нейтральное состояние;0.9;egorova_t;Бухгалтерия;
3286;Тяжелая неделя. Еле выжила.;Нейтральное состояние;0.56;krylova_m;Бухгалтерия;
3226;Сегодня не пошел на работу. Не мог.;Нейтральное состояние;0.56;volkov_s;Продажи;
3245;Сразу три договора за день!;Нейтральное состояние;0.9;lebedev_m;Продажи;
3085;Помог коллеге с деплоем. Потратил время, но приятно осознавать, что помог.;Положительное состояние;0.9;voronov_m;IT;
3145;Обычный рабочий день. Ничего особенного.;Нейтральное состояние;0.9;svetlova_e;Маркетинг;
